[CCS DEBUG] Frame 60 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 120 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 180 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 240 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 300 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 360 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 420 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 480 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 540 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 600 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 660 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 720 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 780 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 840 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 900 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 960 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 1020 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 1080 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 1140 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 1200 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 1260 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 1320 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 1380 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 1440 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 1500 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 1560 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 1620 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 1680 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 1740 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 1800 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 1860 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 1920 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 1980 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 2040 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 2100 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 2160 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 2220 | Entities: 1 | Camera: SET | PhysX: SET
[CCS DEBUG] Frame 2280 | Entities: 1 | Camera: SET | PhysX: SET
