Frame: 0 | Time: 0.0006014 | deltaTime: 0.0006014 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 0 | Tris: 0
Frame: 60 | Time: 0.434761 | deltaTime: 0.0070755 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 120 | Time: 0.85714 | deltaTime: 0.0070218 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 0 | Time: 1.00504 | deltaTime: 0.0070243 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 60 | Time: 1.42754 | deltaTime: 0.0070426 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 120 | Time: 1.85085 | deltaTime: 0.0070622 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 0 | Time: 2.00588 | deltaTime: 0.0067406 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 60 | Time: 2.42836 | deltaTime: 0.0070357 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 120 | Time: 2.85199 | deltaTime: 0.0080881 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 0 | Time: 3.01382 | deltaTime: 0.0076757 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 60 | Time: 3.43538 | deltaTime: 0.007052 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 120 | Time: 3.85848 | deltaTime: 0.0076407 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 0 | Time: 4.01992 | deltaTime: 0.0068587 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 60 | Time: 4.44242 | deltaTime: 0.007079 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 120 | Time: 4.86489 | deltaTime: 0.0070193 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 0 | Time: 5.02689 | deltaTime: 0.0070596 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 60 | Time: 5.44938 | deltaTime: 0.0070092 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 120 | Time: 5.87188 | deltaTime: 0.0070203 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 0 | Time: 6.03396 | deltaTime: 0.0070887 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 60 | Time: 6.4566 | deltaTime: 0.0069139 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 120 | Time: 6.87892 | deltaTime: 0.0070589 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 0 | Time: 7.04105 | deltaTime: 0.0072171 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 60 | Time: 7.46372 | deltaTime: 0.0071538 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 120 | Time: 7.88627 | deltaTime: 0.0069886 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 0 | Time: 8.04493 | deltaTime: 0.0070421 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 60 | Time: 8.4678 | deltaTime: 0.0071839 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 120 | Time: 8.88971 | deltaTime: 0.0070145 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 0 | Time: 9.05208 | deltaTime: 0.0072243 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 60 | Time: 9.47492 | deltaTime: 0.0072721 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 120 | Time: 9.89866 | deltaTime: 0.007035 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 0 | Time: 10.0537 | deltaTime: 0.0071063 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 60 | Time: 10.4759 | deltaTime: 0.0070392 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 120 | Time: 10.8987 | deltaTime: 0.007365 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 0 | Time: 11.0607 | deltaTime: 0.007118 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 60 | Time: 11.4847 | deltaTime: 0.0068274 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 120 | Time: 11.911 | deltaTime: 0.0070245 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 0 | Time: 12.0615 | deltaTime: 0.0075681 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
Frame: 60 | Time: 12.4842 | deltaTime: 0.0072181 | MouseCaptured: 1 | Meshes: 547 | DrawCalls: 1 | Tris: 0
